neighbourhood_group,neighbourhood
Lisboa,Ajuda
Lisboa,Alcantara
Lisboa,Alvalade
Lisboa,Areeiro
Lisboa,Arroios
Lisboa,Avenidas Novas
Lisboa,Beato
Lisboa,Belém
Lisboa,Benfica
Lisboa,Campo de Ourique
Lisboa,Campolide
Lisboa,Carnide
Lisboa,Lumiar
Lisboa,Marvila
Lisboa,Misericórdia
Lisboa,Olivais
Lisboa,Parque das Nações
Lisboa,Penha de Frana
Lisboa,Santa Clara
Lisboa,Santa Maria Maior
Lisboa,Santo António
Lisboa,São Domingos de Benfica
Lisboa,São Vicente
